,,,riesgo_cv_mean,riesgo_cv_mean,brecha_bayes,brecha_bayes
,,,mean,std,mean,std
escenario,clasificador,n_total,,,,
Desbalanceado_DistintaCov,KNN-1,2500,0.238,0.0096,-0.1153,0.0096
Desbalanceado_DistintaCov,KNN-21,250,0.1708,0.0189,-0.1825,0.0189
Desbalanceado_DistintaCov,KNN-21,500,0.1733,0.015,-0.18,0.015
Desbalanceado_DistintaCov,KNN-21,1000,0.1655,0.0106,-0.1878,0.0106
Desbalanceado_DistintaCov,KNN-21,2500,0.1652,0.0067,-0.1881,0.0067
Desbalanceado_DistintaCov,KNN-5,250,0.1808,0.0249,-0.1725,0.0249
Desbalanceado_DistintaCov,KNN-5,500,0.1882,0.013,-0.1651,0.013
Desbalanceado_DistintaCov,KNN-5,1000,0.1818,0.0137,-0.1714,0.0137
Desbalanceado_DistintaCov,KNN-5,2500,0.1845,0.0072,-0.1688,0.0072
Desbalanceado_DistintaCov,LDA,250,0.1702,0.0183,-0.1831,0.0183
Desbalanceado_DistintaCov,LDA,500,0.1739,0.012,-0.1794,0.012
Desbalanceado_DistintaCov,LDA,1000,0.1701,0.0123,-0.1832,0.0123
Desbalanceado_DistintaCov,LDA,2500,0.1688,0.0052,-0.1845,0.0052
Desbalanceado_DistintaCov,QDA,250,0.1604,0.0156,-0.1929,0.0156
Desbalanceado_DistintaCov,QDA,500,0.1674,0.0117,-0.1859,0.0117
Desbalanceado_DistintaCov,QDA,1000,0.161,0.009,-0.1923,0.009
Desbalanceado_DistintaCov,QDA,2500,0.1613,0.0044,-0.192,0.0044
Desbalanceado_MismaCov,Bayes,250,0.3248,0.0,0.0,0.0
Desbalanceado_MismaCov,Bayes,500,0.3248,0.0,0.0,0.0
Desbalanceado_MismaCov,Bayes,1000,0.3248,0.0,0.0,0.0
Desbalanceado_MismaCov,Bayes,2500,0.3248,0.0,0.0,0.0
Desbalanceado_MismaCov,GB,250,0.1666,0.0251,-0.1582,0.0251
Desbalanceado_MismaCov,GB,500,0.1577,0.0142,-0.1671,0.0142
Desbalanceado_MismaCov,GB,1000,0.1589,0.0093,-0.1659,0.0093
Desbalanceado_MismaCov,GB,2500,0.1588,0.0054,-0.166,0.0054
Desbalanceado_MismaCov,GNB,250,0.1668,0.0259,-0.158,0.0259
Desbalanceado_MismaCov,GNB,500,0.1578,0.013,-0.167,0.013
Desbalanceado_MismaCov,GNB,1000,0.1581,0.0092,-0.1667,0.0092
Desbalanceado_MismaCov,GNB,2500,0.1593,0.0057,-0.1655,0.0057
Desbalanceado_MismaCov,KNN-1,250,0.2276,0.0416,-0.0972,0.0416
Desbalanceado_MismaCov,KNN-1,500,0.2271,0.0196,-0.0977,0.0196
Desbalanceado_MismaCov,KNN-1,1000,0.2293,0.0151,-0.0955,0.0151
Desbalanceado_MismaCov,KNN-1,2500,0.2299,0.0107,-0.0949,0.0107
Desbalanceado_MismaCov,KNN-21,250,0.171,0.02,-0.1538,0.02
Desbalanceado_MismaCov,KNN-21,500,0.1634,0.0168,-0.1614,0.0168
